question,answer,contexts,ground_truth,context_precision,faithfulness,answer_relevancy,context_recall
¿Cuál es la duración total de las enseñanzas del ciclo de grado medio para Técnico Deportivo en Atletismo?,La duración total de las enseñanzas correspondientes al título de Técnico Deportivo en Atletismo es de 1.005 horas.,"[' 1. La duración total de las enseñanzas correspondientes a este ciclo de grado medio, incluido el respectivo módulo de formación práctica, correspondiente al título de Técnico Deportivo en Atletismo es de 1.005 horas. Estas enseñanzas se organizan en dos ciclos: - Ciclo inicial de grado medio en atletismo, con una duración de 430 horas. - Ciclo final de grado medio en atletismo, con una duración de 575 horas.'
 '. 92 Lunes   I.  41349  Criterios de organización del entrenamiento referidos a la duración de la vida deportiva. '
 '- Actividades docentes, cursos y sesiones técnicas. - Servicios: documentación, información y publicaciones. - Los títulos y ciclos de enseñanza deportiva en atletismo: - Normativa.']","La duración total es de 1.005 horas, organizadas en dos ciclos.",0.9999999999,1.0,0.9451681240095803,1.0
¿Qué pruebas son necesarias para acceder al ciclo inicial de grado medio en atletismo?,"Para acceder al ciclo inicial de grado medio en atletismo, es necesario superar la prueba de carácter específico RAE-ATAT101.","[' # Ciclo inicial de grado medio en atletismo'
 '# Artículo 10. Requisitos de carácter específico.  1. Para acceder al ciclo inicial de grado medio en atletismo será necesario superar la prueba de carácter específico RAE-ATAT101 descrita en el anexo VI del Real Decreto 427/2023, de 6 de junio.  2. El requisito de carácter específico del ciclo inicial tiene asignada una carga horaria de formación de 120 horas sobre la duración total del ciclo inicial.'
 ' Módulos específicos de enseñanza deportiva del ciclo inicial en atletismoMódulo específico de enseñanza deportiva: Metodología de la iniciación en atletismoCódigo: MED-ATAT105']",Es necesario superar la prueba de carácter específico RAE-ATAT101 descrita en el anexo VI del Real Decreto 427/2023.,0.49999999995,1.0,0.8730018595507317,1.0
¿Qué se menciona sobre la accesibilidad universal en relación con los espacios y equipamientos necesarios para la enseñanza del grado medio en atletismo?,"Según el contexto, los espacios y equipamientos necesarios para la enseñanza del atletismo deben cumplir con la normativa sobre accesibilidad universal. Esto implica que los centros autorizados deben diseñar sus instalaciones para permitir el desarrollo de las actividades de enseñanza de manera accesible para todos.","[' Los espacios y equipamientos que deben reunir los centros autorizados para impartir las enseñanzas deportivas son los establecidos en los anexos V-A y V-B, y deben permitir el desarrollo de las actividades de enseñanza cumpliendo con la normativa sobre igualdad de oportunidades, diseño para todos y accesibilidad universal, prevención de riesgos laborales, así como con la normativa sobre seguridad y salud en el puesto de trabajo.  # Artículo 7. Titulaciones y acreditación de requisitos del profesorado.'
 ' - El contexto y las limitaciones originadas por la falta de acceso a la información de la oferta de la práctica del atletismo adaptado y la difusión de la misma.'
 '- Barreras arquitectónicas en las instalaciones de atletismo adaptado y espacios sociales. Tipos y características. - Las actitudes en el entorno de las personas con discapacidad hacia la práctica del atletismo adaptado. ']","Los espacios y equipamientos deben cumplir con la normativa sobre igualdad de oportunidades, diseño para todos y accesibilidad universal, prevención de riesgos laborales, así como con la normativa sobre seguridad y salud en el puesto de trabajo.",0.8333333332916666,1.0,0.9185404243733295,1.0
¿Qué competencias desarrolla el módulo de 'Tecnificación y perfeccionamiento técnico en carreras y marcha' en el ciclo final de grado medio en atletismo?,"El módulo de ""Tecnificación y perfeccionamiento técnico en carreras y marcha"" desarrolla competencias para valorar la ejecución técnica y el rendimiento del atleta en el entrenamiento y durante la competición, analizando aspectos fundamentales de la técnica y situaciones tácticas de las carreras y la marcha.","[' La formación del módulo contribuye a completar en un entorno deportivo y profesional real los objetivos generales y las competencias del ciclo final de grado medio en atletismo.  # Finalidad del módulo de Formación práctica:  - Completar la adquisición de competencias profesionales y deportivas propias del ciclo final de grado medio de enseñanza deportiva, alcanzadas en el centro educativo. --- # '
 ' 1. Valora la ejecución técnica y el rendimiento del atleta en el entrenamiento y durante la competición en cada una de las etapas de la fase de tecnificación y perfeccionamiento, analizando los aspectos fundamentales de la técnica y las situaciones tácticas de las carreras (velocidad, vallas, medio fondo, fondo, obstáculos y trail) y la marcha.  |Etapa de entrenamiento básico de la marcha y las carreras (12-15 años):|Características y factores que condicionan la tecnificación de la marcha y la carrera.|'
 ' La formación del módulo contribuye a completar en un entorno deportivo y profesional real los objetivos generales y las competencias del ciclo inicial de grado medio en atletismo.  # B) Finalidad del módulo de Formación práctica:  - Completar la adquisición de competencias profesionales y deportivas propias del ciclo inicial de grado medio de enseñanza deportiva, alcanzadas en el centro educativo.']","Este módulo desarrolla competencias relacionadas con la valoración de la ejecución técnica, la elaboración de secuencias de aprendizaje, y la dirección de sesiones de entrenamiento técnico, táctico y de acondicionamiento físico.",0.9999999999666667,1.0,0.8746449986651544,0.3333333333333333
¿Qué aspectos se analizan en la técnica de la zancada en las carreras de velocidad?,"Según el contexto, en el análisis mecánico de la zancada de carrera se analizan los parámetros de la carrera, específicamente la relación velocidad de carrera / distancia saltada.","['. 92 Lunes   I.  41328  # Enseñanza de los ejercicios de asimilación técnica de las carreras de velocidad:  - Ejercicios para el aprendizaje de los fundamentos técnicos de la salida de tacos.'
 ' - Objetivos de la corrección de la técnica de carrera. Etapas en la adquisición del dominio técnico. - Motivación hacia la correcta ejecución de la carrera a alta velocidad. - Análisis mecánico de la zancada de carrera: - - Los parámetros de la carrera:'
 '- Relación velocidad de carrera / distancia saltada']","Se analizan los parámetros de la carrera, como la amplitud y la frecuencia de zancadas, la posición del tronco y la acción de los brazos, y se utilizan ciclogramas y kinogramas para la corrección de errores técnicos.",0.49999999995,1.0,0.9436949886994137,0.5
¿Qué técnicas de transmisión del testigo se emplean en el relevo corto?,"Según el contexto, las técnicas de transmisión del testigo que se emplean en el relevo corto son ""por abajo"", ""por arriba"" y ""de empuje"".","['- La velocidad del testigo en la zona. Posición de salida y puesta en acción de los diferentes relevistas. - La distancia de hándicap o referencia. Criterios para su determinación. - Las técnicas de transmisión del testigo. El cambio «por abajo», «por arriba» y «de empuje». Descripción del movimiento de entrega y recepción del testigo en las diferentes técnicas. - Los tres tiempos de la entrega del testigo. - Las tácticas de equipo en el relevo corto.']","Se emplean técnicas como el cambio 'por abajo', 'por arriba' y 'de empuje', cada una con su propio movimiento de entrega y recepción del testigo.",0.9999999999,1.0,0.9906564421938476,1.0
¿Cuál es la duración total del ciclo inicial de grado medio en atletismo según la distribución horaria del currículo?,La duración total del ciclo inicial de grado medio en atletismo es de 430 horas.,"[' 1. La duración total de las enseñanzas correspondientes a este ciclo de grado medio, incluido el respectivo módulo de formación práctica, correspondiente al título de Técnico Deportivo en Atletismo es de 1.005 horas. Estas enseñanzas se organizan en dos ciclos: - Ciclo inicial de grado medio en atletismo, con una duración de 430 horas. - Ciclo final de grado medio en atletismo, con una duración de 575 horas.'
 ' # Ciclo inicial de grado medio en atletismo'
 'Total del ciclo: 430 h  # Ciclo final de grado medio en atletismo']",La duración total del ciclo inicial de grado medio en atletismo es de 430 horas.,0.8333333332916666,1.0,0.8805966185117238,1.0
¿Qué requisitos deben cumplir los integrantes del tribunal evaluador de las pruebas de carácter específico en atletismo?,"Los integrantes del tribunal evaluador de las pruebas de carácter específico en atletismo deben acreditar la titulación de Técnico Deportivo Superior en Atletismo o estar en posesión de la homologación al título de Técnico Deportivo Superior en Atletismo. Además, al menos uno de los integrantes del tribunal debe ser propuesto por la Real Federación Española de Atletismo.","['1. El tribunal estará formado por un/a presidente/a, un/a secretario/a y tres personas evaluadoras.  2. Las personas integrantes del tribunal evaluador de las pruebas de carácter específico deberán acreditar la titulación de Técnico Deportivo Superior en Atletismo o estar en posesión de la homologación al título de Técnico Deportivo Superior en Atletismo. Además, como mínimo una de las personas integrantes del tribunal será propuesto por la Real Federación Española de Atletismo.  3. La Presidencia designará a una de las personas evaluadoras para ejercer la vicepresidencia de dicho tribunal.'
 ' - Supuestos prácticos basados en los conceptos trabajados para el asesoramiento del atleta en la competición analizando el reglamento general (vinculado a R.A.1).'
 ' 1. Colabora en la preparación de eventos y actividades de iniciación en atletismo, identificando los requisitos de la actividad y describiendo los procesos de inscripción y las características organizativas y reglamentarias. - Las pruebas alternativas para categorías menores: reglamentación RFEA y sus características básicas: - Categorías por edades.']","Las personas integrantes del tribunal evaluador de las pruebas de carácter específico deberán acreditar la titulación de Técnico Deportivo Superior en Atletismo o estar en posesión de la homologación al título de Técnico Deportivo Superior en Atletismo. Además, como mínimo una de las personas integrantes del tribunal será propuesto por la Real Federación Española de Atletismo.",0.9999999999,1.0,1.0,1.0
¿Cuáles son los factores determinantes del rendimiento en el triple salto según el modelo conceptual?,"Según el contexto, los factores determinantes del rendimiento en el triple salto incluyen la distribución del esfuerzo, la relación altura del salto/frenado horizontal, la técnica del triple salto en sus fases (carrera, 1.º/Hop, 2.º/Step y 3.º/Jump), la coordinación de los brazos y la motivación hacia la ejecución técnica.","['- Distribución del esfuerzo. Ratios o porcentajes de cada salto. - Relación altura del salto/frenado horizontal. Concepto básico. - La evolución de la técnica de los multisaltos y del triple salto en la formación atlética a largo plazo. - Variaciones asociadas a la maduración y a la competencia técnica. - Limitación de la carrera. - Esquema técnico del 1º, 2º y 3er salto - Coordinación de los brazos. - La técnica del triple salto y cada una de sus fases: la carrera, 1.º/Hop, 2.º/Step y 3.º/Jump. - Variabilidad óptima, soluciones o respuestas adecuadas inadecuados. Estrategias de modelado. Refuerzo y corrección. - Motivación hacia la ejecución técnica.'
 '- Características y factores que condicionan la tecnificación de los saltos atléticos.'
 '# El triple salto:']","Los factores determinantes del rendimiento en el triple salto incluyen la relación entre la velocidad de carrera y la distancia saltada, la distribución del esfuerzo en cada salto, la relación entre la altura del salto y el frenado horizontal, la evolución de la técnica en la formación atlética a largo plazo, y las variaciones asociadas a la maduración y competencia técnica.",0.9999999999,1.0,0.9746142489137531,0.8
¿Cuanto deben o pueden pesar los balones medicinales?,"Los balones medicinales pueden pesar 3 kg, 4 kg o 5 kg.","['- Combas, balones blandos, picas, balón medicinal, bancos suecos, vallas de diferentes alturas, colchonetas, aros. - Material de cada especialidad. ---'
 '|- Pulsímetros.| | |- Balones medicinales (3 kg, 4 kg, 5 kg).| | |- Colchonetas.| | |- Mancuernas de diferentes pesos.| |'
 ' - El lanzamiento de peso:']","Los balones medicinales deben pesar 3 kg, 4 kg o 5 kg",0.49999999995,1.0,0.9870287135495635,1.0
